title,author_name,rating,ratings,year
Today Tonight Tomorrow,Rachel Lynn Solomon,4.17,45486,2020
Rock Chick,Kristen Ashley,4.17,56208,2008
Never Too Far,Abbi Glines,4.17,119168,2013
The Air He Breathes,Brittainy C. Cherry,4.17,57678,2015
Tempt Me at Twilight,Lisa Kleypas,4.17,41823,2009
Saphirblau,Kerstin Gier,4.17,97457,2010
The Pagan Stone,Nora Roberts,4.17,30352,2008
A Thousand Boy Kisses,Tillie Cole,4.16,102788,2016
"Red, White & Royal Blue",Casey McQuiston,4.16,607767,2019
Fallen Too Far,Abbi Glines,4.16,169269,2012
The Fault in Our Stars,John Green,4.16,4501032,2012
Finding Cinderella,Colleen Hoover,4.16,87058,2013
Beautiful Stranger,Christina Lauren,4.16,86066,2013
Real,Katy Evans,4.16,106565,2013
The Longest Ride,Nicholas Sparks,4.16,127530,2012
Bossman,Vi Keeland,4.16,63756,2016
Legend,Marie Lu,4.16,487553,2011
Divergent,Veronica Roth,4.16,3540949,2011
Dark Lover,J.R. Ward,4.16,320970,2005
Seduction of a Highland Lass,Maya Banks,4.16,24224,2011
Bared to You,Sylvia Day,4.16,498707,2012
Swear on This Life,Renee Carlino,4.16,36950,2016
The Mighty Storm,Samantha Towle,4.16,72206,2012
Dance of the Gods,Nora Roberts,4.16,29877,2006
The Darkest Minds,Alexandra Bracken,4.16,176313,2012
Born in Ice,Nora Roberts,4.16,36638,1995
Eliza and Her Monsters,Francesca Zappia,4.16,60125,2017
Blood Brothers,Nora Roberts,4.16,52509,2007
The Wedding,Julie Garwood,4.16,33476,1995
"Act Your Age, Eve Brown",Talia Hibbert,4.16,64493,2021
Love From A to Z,S.K. Ali,4.16,15600,2019
Stay with Me,Jennifer L. Armentrout,4.16,32339,2014
Heart of the Sea,Nora Roberts,4.15,30801,2000
The Grand Sophy,Georgette Heyer,4.15,30755,1950
The Last Song,Nicholas Sparks,4.15,536546,2008
Obsidian,Jennifer L. Armentrout,4.15,267374,2011
Never Seduce a Scot,Maya Banks,4.15,31542,2012
Top Secret,Sarina Bowen,4.15,17678,2019
Once Upon a Broken Heart,Stephanie Garber,4.15,58490,2021
Face the Fire,Nora Roberts,4.15,39714,2002
Fantasy Lover,Sherrilyn Kenyon,4.15,90374,2002
Hani and Ishu's Guide to Fake Dating,Adiba Jaigirdar,4.15,21328,2021
Dear Ava,Ilsa Madden-Mills,4.15,41261,2020
I'll Give You the Sun,Jandy Nelson,4.15,309331,2014
Aristotle and Dante Dive into the Waters of the World,Benjamin Alire Sáenz,4.15,51341,2021
A Not So Meet Cute,Meghan Quinn,4.15,60854,2021
World After,Susan Ee,4.15,100144,2013
Natural Born Charmer,Susan Elizabeth Phillips,4.15,35013,2007
The Hollow,Nora Roberts,4.14,31799,2008
Heaven and Earth,Nora Roberts,4.14,40486,2001
Days of Blood & Starlight,Laini Taylor,4.14,156341,2012
First Drop of Crimson,Jeaniene Frost,4.14,56219,2010
Smooth Talking Stranger,Lisa Kleypas,4.14,39342,2009
Savor the Moment,Nora Roberts,4.14,55327,2010
Chasing Cassandra,Lisa Kleypas,4.14,24023,2020
North and South,Elizabeth Gaskell,4.14,158995,1854
Married by Morning,Lisa Kleypas,4.14,39467,2010
Jane Eyre,Charlotte Brontë,4.14,1896342,1847
All the Bright Places,Jennifer Niven,4.14,471843,2015
Memoirs of a Geisha,Arthur Golden,4.14,1885367,1997
Grin and Beard It,Penny Reid,4.14,27092,2016
Hate Notes,Vi Keeland,4.14,63594,2018
Moon Called,Patricia Briggs,4.14,196203,2006
Flock,Kate  Stewart,4.14,65945,2020
Morrigan's Cross,Nora Roberts,4.14,52998,2006
Finale,Becca Fitzpatrick,4.14,163162,2012
Chasing Fire,Nora Roberts,4.13,38137,2011
Sylvester,Georgette Heyer,4.13,15870,1957
Halfway to the Grave,Jeaniene Frost,4.13,151672,2007
The Notebook,Nicholas Sparks,4.13,1537458,1996
The Bodyguard,Katherine Center,4.13,46261,2022
You Should See Me in a Crown,Leah  Johnson,4.13,36131,2020
Match Me If You Can,Susan Elizabeth Phillips,4.13,45324,2005
Perfection,R.L. Mathewson,4.13,64231,2011
A Very Large Expanse of Sea,Tahereh Mafi,4.13,51694,2018
Fixed on You,Laurelin Paige,4.13,54771,2013
Black Hills,Nora Roberts,4.13,38453,2009
Call Me By Your Name,André Aciman,4.13,389241,2007
City of Ashes,Cassandra Clare,4.13,865831,2008
Dreams of Gods & Monsters,Laini Taylor,4.13,102978,2014
Checkmate,R.L. Mathewson,4.13,47848,2012
The Highlander's Touch,Karen Marie Moning,4.13,31955,2000
"Whitney, My Love",Judith McNaught,4.13,34654,1985
Key of Valor,Nora Roberts,4.13,36182,2003
Second Chance Summer,Morgan Matson,4.13,50899,2012
Royally Matched,Emma Chase,4.12,22965,2017
Release Me,J. Kenner,4.12,77852,2013
Love Hacked,Penny Reid,4.12,24306,2014
Because of Low,Abbi Glines,4.12,55748,2012
The Darkest Temptation,Danielle Lori,4.12,65357,2020
Captivated by You,Sylvia Day,4.12,104998,2014
The Truth About Forever,Sarah Dessen,4.12,218798,2004
Vision in White,Nora Roberts,4.12,134276,2009
Still Me,Jojo Moyes,4.12,181067,2018
The Lucky One,Nicholas Sparks,4.12,347631,2007
Rule,Jay Crownover,4.12,97511,2012
Be with Me,Jennifer L. Armentrout,4.12,46763,2014
Pretty Reckless,L.J. Shen,4.12,56819,2019
Key of Knowledge,Nora Roberts,4.12,36506,2003
The Next Always,Nora Roberts,4.12,79935,2011
Cry Wolf,Patricia Briggs,4.12,97790,2008
A Hunger Like No Other,Kresley Cole,4.12,78645,2006
Rubinrot,Kerstin Gier,4.12,138597,2009
Naked in Death,J.D. Robb,4.12,181828,1995
Bed of Roses,Nora Roberts,4.12,60829,2009
Dead to the World,Charlaine Harris,4.12,253637,2004
Venetia,Georgette Heyer,4.11,16407,1958
Destroy Me,Tahereh Mafi,4.11,137383,2012
Vampire Academy,Richelle Mead,4.11,614151,2007
A Week to Be Wicked,Tessa Dare,4.11,31300,2012
Lover Enshrined,J.R. Ward,4.11,113315,2008
On the Island,Tracey Garvis Graves,4.11,81213,2011
Marrying Winterborne,Lisa Kleypas,4.11,35087,2016
Born in Shame,Nora Roberts,4.1,34165,1996
The Sweetest Thing,Jill Shalvis,4.1,19800,2011
"It Ain't Me, Babe",Tillie Cole,4.1,43938,2014
The Game Plan,Kristen Callihan,4.1,29269,2015
The Winner's Crime,Marie Rutkoski,4.1,62529,2015
One True Loves,Sarah MacLean,4.1,164083,2016
Fire,Kristin Cashore,4.1,177298,2009
Love & Gelato,Jenna Evans Welch,4.1,102568,2016
The Stopover,T.L. Swan,4.1,83232,2019
Call Me Irresistible,Susan Elizabeth Phillips,4.1,23057,2010
Finding the Dream,Nora Roberts,4.1,21944,1997
Ten Tiny Breaths,K.A. Tucker,4.1,76134,2012
Water for Elephants,Sara Gruen,4.1,1520037,2006
Luna and the Lie,Mariana Zapata,4.1,43382,2018
The Dead Romantics,Ashley Poston,4.1,27054,2022
